Language,Accuracy,F1 Macro,F1 Weighted,Total Tokens
English-Stanza,0.9654100581812386,0.9169155378255144,0.9649316145316822,25094
Spanish-Stanza,0.9293451091484752,0.7707300307756478,0.9280817226120022,12002
Yoruba-Stanza,0.18330704840470702,0.01822480068508847,0.05679248516291005,8243
Dominican Spanish-Stanza,0.7344827586206897,0.4533139515784317,0.7521526182162729,870
