Language,Accuracy,F1 Macro,F1 Weighted,Total Tokens
English-Controlled,0.974,0.8981998745388199,0.9739704579290926,5000
Spanish-Controlled,0.9322,0.7909035008202598,0.9312130866149327,5000
Yoruba-Controlled,0.1388,0.016251024470202553,0.03383463294696171,5000
Dominican Spanish-Controlled,0.7344827586206897,0.4533139515784317,0.7521526182162729,870
